ra_simbad,dec_simbad,Identifier
16.325928662659333,-28.12775036473,GSC 06806-00016
16.534314597949336,-28.50492809724,HD 148862
16.598042459166667,-28.2160170875,* tau Sco
16.826664224036666,-27.468831147019998,CD-27 11188
17.25100245336303,-27.827704751384168,CD-27 11535
15.410928536158668,-21.03449139225,BD-20 4227
15.536202854295333,-21.9668231844,HD 138343
15.889423919206667,-21.97129086607,HD 142097
15.911554501714667,-22.76625388525,HD 142315
15.921550895603334,-23.36770894343,HD 142424
15.898851122222222,-23.978097833333333,HD 142184
15.946626305901333,-23.18407448231,HD 142705
15.976920174441334,-22.954227933109998,HD 143006
15.970196574740667,-23.47681352778,CD-23 12602
15.959529678108666,-23.35340796993,V* V1148 Sco
15.963556151515998,-23.52730392616,V* V928 Sco
16.037098719495336,-22.68755884078,HD 143600
16.088652141924666,-23.66911983728,HD 144175
16.101774759010667,-23.60634712261,HD 144334
16.124979275558,-23.95068027529,HD 144587
16.03623169211467,-22.6913400357,V* V1154 Sco
16.023786161390667,-22.677858064120002,CD-22 11298
16.115108000000003,-24.269680299999997,1RXS J160652.6-241627
16.030969545812553,-24.75696166123222,2MASS J16015149-2445249
16.17370975108467,-23.10649545379,HD 145189
16.169410745367333,-24.58242041959,HD 145127
16.145477857372665,-23.68541207257,HD 144844
16.131079960347332,-24.462346517529998,HD 144661
16.201648173827998,-23.245742578570002,HD 145504
16.307849088944,-23.27430207519,HD 146706
16.202746769253334,-23.92154309925,HD 145505
16.22930510833333,-24.42209502777778,HD 145792
16.273658981807333,-24.988740034,HD 146285
16.248174851826,-25.47697234462,HD 146001
16.217421534154,-22.96235917809,2MASS J16130271-2257446
16.224802366998667,-23.18543815474,2MASS J16132929-2311075
16.233920552039333,-23.01727446756,2MASS J16140211-2301021
16.236408264096447,-23.09335318890111,CD-22 11432
16.271651801125998,-23.66320602525,2MASS J16161795-2339476
16.35533084232267,-23.70798286945,HD 147196
16.353143253722223,-25.592792076666665,* sig Sco
16.34574784873133,-24.52732753386,GSC 06798-00091
16.423414333299334,-23.46020765782,HD 147888
16.405921803504665,-25.02540241066,HD 147701
16.498498701848668,-24.979465282019998,HD 148562
16.400806377108665,-25.415020306139997,HD 147648
16.416429897956665,-25.354992986430002,HD 147809
16.461190496706,-24.36781395175,EM* SR 9
16.492771723949335,-24.925126393590002,2MASS J16293397-2455303
16.42201385381267,-24.44800270315,CD-24 12683
16.42201385381267,-24.44800270315,CD-24 12683
16.39231649428133,-25.39683705999,CD-25 11492
16.401759926666664,-24.9463845,RX J1624.0-2456
16.452576928574,-23.65158828012,2MASS J16270927-2339055
16.448004910678,-23.720196276899998,VSS II-28
16.424619702618667,-23.77399879486,EM* SR 6
16.455418188589693,-24.694559674584724,EM* SR 12
16.503465316472223,-25.115223408333335,* i Sco
16.533781998483335,-25.50705271907,DoAr 50
16.533498374672668,-25.50799699226,DoAr 49
16.517877905162667,-24.07591781049,CoKu Haro 1-14 c
16.536609714464667,-24.672677890950002,DoAr 51
16.581427587049333,-25.30472511269,HD 149309
16.579525598676668,-26.10901539581,DoAr 61
16.561646562143334,-25.392808667489998,V* V877 Sco
16.757263265668,-25.05462568668,2MASS J16452615-2503169
16.763462077438,-26.64941614566,HD 151012
16.83630766702733,-26.74254462408,HD 151721
16.870365019222,-26.919671803900002,HD 152057
17.066892640502665,-25.69800023501,* 28 Oph
17.225785931674665,-26.035322676550003,CD-25 12033
15.558437222515334,-20.05732531836,HD 138563
15.650016043358667,-19.73255543406,HD 139486
15.630326656532,-18.679185010210002,TYC 6189-101-1
15.937468647157333,-21.01136496449,GSC 06199-01511
16.032070758212,-21.980388583579998,HD 143567
16.095385761328,-21.83876327202,HD 144254
16.09518753877533,-20.07090126064,ScoPMS 29
16.11345192252778,-20.669191731944444,* ome Sco
16.032837645986667,-20.13665406751,BD-19 4288
16.108802948289334,-20.60646995216,GSC 06208-00834
16.108802948289334,-20.60646995216,GSC 06208-00834
16.008707798268027,-20.451388637357777,RX J1600.5-2027
16.011880468258667,-21.460559503949998,2MASS J16004277-2127380
16.029844131932666,-20.82937471383,RX J1601.7-2049
16.072681887439998,-21.50793057314,2MASS J16042165-2130284
16.14909170498933,-20.562732538560002,2MASS J16085673-2033460
16.15841875807533,-21.08303994472,RX J1609.5-2105
16.161386927324664,-22.299868768190002,2MASS J16094098-2217594
16.198754993728,-21.105002595360002,HD 145467
16.241356313463335,-21.107636548770003,HD 145964
16.282990594434665,-21.30413196671,HD 146416
16.31087321671667,-21.59284769439,HD 146743
16.197960536396,-22.54503329824,HD 145468
16.219886623222,-22.48517277431,HD 145718
16.259601466666666,-22.711697,V* VV Sco
16.292053047783334,-23.060034195220002,HD 146516
16.221828206508665,-22.21361636004,BD-21 4301
16.178339759824667,-21.02557493744,GSC 06213-01459
16.133725637664668,-20.4615729597,1RXS J160801.7-202755
16.324789413030665,-21.40368687756,HD 146897
16.355873806347336,-22.108958332620002,HD 147220
16.347286453642,-22.594108326689998,HD 147137
16.316550845863333,-22.22455764254,BD-21 4333
16.326101783286,-22.474851737509997,2MASS J16193396-2228294
16.381049063888888,-23.118757527777777,HD 147432
16.41426769379933,-22.65904404341,HD 147808
16.496859107762003,-21.869980228510002,BD-21 4369
16.460989813201998,-22.75642533264,2MASS J16273956-2245230
16.385506227805333,-23.01666565857,CD-22 11523
16.596768878132664,-21.81105062617,GSC 06228-01359
16.671645642423336,-23.89588704797,HD 150193
16.820060202198,-22.7115786944,HD 151594
15.548672570991334,-16.852844783650003,* zet04 Lib
15.748122818684,-18.7509615912,HD 140560
15.696481541753334,-18.08311289368,TYC 6189-262-1
15.979922267135333,-17.96658320065,TYC 6191-552-1
15.983908583260666,-18.73731714115,TYC 6191-19-1
16.120813437081335,-17.93603639321,HD 144586
16.066732877857334,-19.76747955926,HD 143956
16.09071350471333,-19.801901506900002,* bet02 Sco
16.079931435729332,-19.50636563087,ScoPMS 27
16.106094391859333,-19.47911179813,ScoPMS 31
16.090619995166666,-19.805452782777778,* bet01 Sco
16.050744439242667,-18.10139512833,GSC 06204-00812
16.056571808278,-17.861797570310003,2MASS J16032367-1751422
16.117760608158,-19.19277053583,RX J1607.0-1911
16.150722490961332,-18.99556638002,HD 144925
16.15580241945533,-19.457211876789998,HD 144981
16.172706243582002,-19.068497300689998,ScoPMS 42b
16.137428927551998,-19.14241355234,TYC 6209-735-1
16.14287882664,-19.19894296452,ASAS J160835-1912.0
16.199926577777777,-19.460704472222222,* nu. Sco
16.20606475582933,-19.57904702548,HD 145554
16.212250150787334,-19.5028746762,HD 145631
16.264032606322,-20.07645949146,HD 146216
16.185807154461333,-19.07971575557,Wa Oph 1
16.211254011279998,-18.99118545012,BD-18 4244
16.187595598346668,-17.955952686939998,1RXS J161115.1-175741
16.15021090027,-19.1479667672,[PGZ2001] J160900.7-190852
16.210879670078,-18.99123871656,[T64] 6
16.341824507534664,-20.11444426178,HD 147104
16.334859111104,-20.0563974127,V* V933 Sco
16.45039860811111,-18.456248273333333,* chi Oph
16.79648252818667,-19.87554226187,HD 151376
16.117964923110666,-16.94326691513,HD 144569
16.47904839079333,-17.477602404469998,HD 148437
16.641292440927334,-18.220475868439998,HD 149914
16.54009137035067,-17.06113417889,UCAC4 365-076247
15.9698246375,-14.27935817388889,* 48 Lib
17.629576319609335,-13.24627682577,HD 159911
11.223950241132,-45.39520026783,V* V1215 Cen
11.096039028512667,-47.442297955079994,HD 96338
11.002299309285334,-51.81780184848,HD 95429
10.782631289222223,-56.75719167111111,HD 93563
10.318075708333334,-64.6762576388889,HD 89715
10.115477768126667,-63.869059400990004,CPD-63 1286
10.574973345616666,-62.599237333610006,HD 307772
10.699903527777778,-63.50729836111111,HD 92896
10.561612621765335,-64.22935968861,V* V542 Car
10.492431699795333,-63.82098850276,TYC 8964-165-1
10.737204098529332,-64.77425683736,HD 307960
10.382818350333334,-66.90149730611111,* L Car
11.362360977779334,-49.90214373288,HD 98803
11.350112819444444,-54.49101816666667,* pi. Cen
11.34068440497,-58.56730812915001,HD 304169
11.212557499876667,-64.16976976726001,HD 97583
11.005267382968666,-61.300594870809995,HD 305810
10.775838483372668,-65.45508808875,HD 310131
10.830111448063333,-64.77457443233,V* V570 Car
10.963715426185999,-69.2333195832,CPD-68 1388
11.677383789032666,-49.50920235726,HD 101523
11.551549068970001,-54.324596416860004,HD 100453
11.535652074469333,-58.05557803173,HD 304428
11.67596262138,-56.69607375077,TYC 8638-2548-1
11.299482495742,-64.04259782516999,HD 98363
11.297741539662667,-64.03488064014999,WRAY 15-788
11.465376288155444,-66.4345832109114,TYC 8984-2245-1
11.526376796038,-67.73184325294,HD 100282
11.331318057177333,-70.61846647547999,HD 98660
11.986300095178667,-45.83222167864,HD 104080
11.835328045228001,-49.54320613025,HD 102814
11.790151061284666,-49.88417180127,HD 102458
11.823083130864,-48.017038149499996,TYC 8220-950-1
11.789053664439999,-49.88453791885,TWA 19B
11.789053664439999,-49.88453791885,TWA 19B
11.977481149543333,-52.76870764235,HD 104021
11.762441343070666,-52.69050441858,HD 102235
11.928763201612666,-54.180691338989995,HD 103599
11.879070145168,-55.23524662903,TYC 8635-1764-1
11.885557905816666,-56.7272503255,HD 103234
11.989926442096,-57.16798397706,HD 104125
11.884628754546,-58.25346591848,HD 103235
11.940712138065333,-58.82134320827,HD 103703
11.761885207893334,-57.6579522578,2MASS J11454278-5739285
11.996133562763333,-61.0203452679,TYC 8973-2084-1
11.997185854916,-61.60683976907,ASAS J115948-6136.2
11.674406299017999,-62.0260189681,ASAS J114028-6201.6
11.935368485554667,-63.23601187277,HD 309346
11.924683458524,-62.196428003419996,HD 103589
11.864229416666666,-65.20590702777778,HD 103079
11.616677031422,-65.27125830693,1RXS J113700.0-651617
11.557066913119334,-70.19478924943,HD 100546
12.203108874334,-49.835613530530004,CPD-49 4947
12.134783962888665,-50.66127095876,HD 105382
12.199674463065334,-50.7701459394,HD 105994
12.096522696722667,-51.00335303378,HD 105070
12.187448197219334,-52.21755206958,HD 105874
12.079021468643333,-52.35434280322,HD 104897
12.194199929992001,-52.368440116740004,* rho Cen
12.203335802505332,-54.230454846,HD 106048
12.24742304828,-55.7898687952,HD 106444
12.24742304828,-55.7898687952,HD 106444
12.247863489825333,-55.784342578579995,CD-55 4499
12.247863489825333,-55.784342578579995,CD-55 4499
12.209933306725333,-55.340914774350004,CD-54 4621
12.209933306725333,-55.340914774350004,CD-54 4621
12.184964228464,-56.401356506119996,HD 105857
12.160773871562666,-58.34965488054,HD 105613
12.252421312361111,-58.74892692666667,* del Cru
12.161627472548666,-58.91251711946,CD-58 4411
12.002612884868666,-57.117221060060004,HD 104231
12.103757822108,-57.03799171241,CD-56 4292
12.192061793020667,-58.28145358723,CD-57 4328
12.307677946666667,-59.7202878,CD-59 4205
12.257851627777777,-62.539048083333334,HD 106538
12.202853960284,-63.454114144500004,HD 106036
12.307289465143334,-64.0030853698,* zet Cru
12.23250155881,-62.920256808779996,2MASS J12135700-6255129
12.23250155881,-62.920256808779996,2MASS J12135700-6255129
12.128436399850667,-62.457807238440004,V* FN Cru
12.285086044286667,-65.69295965132001,HD 106797
12.275014496492668,-67.19660162397,2MASS J12163007-6711477
12.275014496492668,-67.19660162397,2MASS J12163007-6711477
12.043803498053332,-69.19228861704,HD 104600
12.07746805,-68.32891091666666,HD 104878
12.277849092934002,-70.12672351843,TYC 9231-1185-1
12.277849092934002,-70.12672351843,TYC 9231-1185-1
12.414421862854,-72.60389868716,HD 107947
12.241289689574666,-47.6128048371,HD 106389
12.248989029876666,-47.94849590942,HD 106473
12.353255764122,-48.05533209216,HD 107437
12.365460858406,-49.77012307628,CD-49 7027
12.365460858406,-49.77012307628,CD-49 7027
12.416567534174,-50.19185630952,HD 108035
12.415690604154001,-48.90751707288,GSC 08239-00805
12.367860780296,-48.69026489665,CD-47 7559
12.367860780296,-48.69026489665,CD-47 7559
12.373570761350667,-51.02621163151,HD 107649
12.345611783406001,-52.25693595761,CD-51 6597
12.442155429472223,-51.45063609638889,* G Cen
12.3397276,-52.704601000000004,ASAS J122022-5242.1
12.352245065186,-52.20630655803,CD-51 6605
12.242802972879332,-51.17014035805,CD-50 6815
12.242802972879332,-51.17014035805,CD-50 6815
12.27139454275,-50.924006250439994,UCAC3 79-152651
12.387308966666666,-55.6712164,RX J1223.2-5540
12.298108752887334,-55.975525840900005,HD 106906
12.394479652607332,-56.27570809372,CD-55 4588
12.380397722052667,-57.67613024297,HD 107696
12.512853800459334,-58.187993243799994,HD 108857
12.316117781068002,-57.62198506027,CD-56 4401
12.316117781068002,-57.62198506027,CD-56 4401
12.405073230220667,-58.97644915934,HD 107920
12.402711572067334,-60.06157509152,ASAS J122410-6003.6
12.520178091816668,-61.90874753705,HD 108904
12.443304227777778,-63.09909286111111,* alf Cru
12.743001685730666,-63.5295087612,V* FI Cru
12.743001685730666,-63.5295087612,V* FI Cru
12.395052938579333,-63.87007910057,HD 107821
12.610827203808666,-63.7454222425,CPD-63 2367
12.610827203808666,-63.7454222425,CPD-63 2367
12.665514418492666,-66.5111363708,V* FH Mus
12.619727191277779,-69.13556478861112,* alf Mus
12.645215774207333,-68.76364539878,HD 109832
12.935641169738666,-69.44835024525,2MASS J12560830-6926539
12.935641169738666,-69.44835024525,2MASS J12560830-6926539
12.973773338443333,-70.48031899759,CD-69 1055
12.973773338443333,-70.48031899759,CD-69 1055
12.527241432683335,-45.98318275658,TWA 20
12.46732835513889,-50.23063534222222,* sig Cen
12.553385320344667,-52.08284360217,HD 109195
12.679620029737332,-52.184619265989994,CD-51 6900
12.733870855851999,-53.50572101191,HD 110634
12.740720241116,-54.34670447946,HD 110697
12.555535905152668,-54.98112812618,HD 109197
12.587369577254668,-55.89299509327,HD 109458
12.61637936348,-54.20500019775,CPD-53 5235
12.61637936348,-54.20500019775,CPD-53 5235
12.635348127777778,-55.931218027777774,HD 109808
12.719216283512667,-56.17622729189,HD 110506
12.772976276666668,-56.48881572361111,HD 110956
12.743047847174665,-57.286902309409996,HD 110698
12.688382463422666,-58.43221552073,HD 110244
12.794084980732,-58.41572817922,HD 111103
12.794222585533333,-58.29757307873,HD 111102
12.79494931725,-58.432178253429996,HD 111104
12.813383180677334,-56.59383891776,CD-55 4799
12.795352436111111,-59.688772,* bet Cru
12.808759629959335,-59.74702527042,GSC 08659-01804
12.64321152718,-59.27886840667,2MASS J12383556-5916438
12.64321152718,-59.27886840667,2MASS J12383556-5916438
12.910884048805556,-59.14670079416667,* lam Cru
12.935943389178666,-61.45707596143,HD 112245
12.935943389178666,-61.45707596143,HD 112245
12.917752564942665,-63.64079469437,HD 112109
13.046395357303334,-62.23307028067,HD 312273
13.046395357303334,-62.23307028067,HD 312273
13.083900300794667,-64.44158390082,HD 113457
13.328728165940666,-67.36432433716999,HD 115583
13.233643708368,-68.77735231257999,TYC 9242-290-1
13.233643708368,-68.77735231257999,TYC 9242-290-1
13.368761720684,-69.63672760881,CPD-68 1894
13.292452726666667,-70.6285362,UCAC4 097-047114
12.751877483812,-47.71616719381,HD 110817
12.838810651542001,-49.863600541130005,HD 111520
12.662832292378,-49.19876413854,HD 110058
12.951208729058665,-51.1987535821,* H Cen
12.715239807947999,-50.81668949529001,HD 110484
12.966051188834,-52.61515449365,HD 112509
12.949506250486,-54.58735517894,V* V823 Cen
12.870753900106001,-55.89374118902,[FS2003] 0652
12.909895707972222,-57.177922923611106,* mu.01 Cru
12.910245599709334,-57.168664977329996,* mu.02 Cru
13.20488738611111,-59.92057894444444,V* V831 Cen
13.092389944871334,-58.535544480999995,HD 113556
13.154497953247335,-60.308348761999994,HD 114082
13.2987265793,-61.01078623465,HD 115361
13.377203639328945,-60.988380600585835,* J Cen
13.183060972062666,-62.08770622198,HD 114319
13.565227716958667,-65.61155698389999,IRAS 13303-6521
13.902062313136,-67.56246517881999,CPD-66 2366
13.987034311367333,-71.6150131676,TYC 9251-1662-1
13.11517761036111,-49.90624509,* ksi02 Cen
12.999967219821333,-50.389579884519996,HD 112810
13.111145351646666,-51.994060837250004,CD-51 7268
13.182897904836667,-52.5668980282,V* V824 Cen
13.12597313048,-52.90548414119,HD 113901
13.127301286912001,-53.459763831420005,HD 113902
13.03074947178,-53.082822960170006,CPD-52 6110
13.03074947178,-53.082822960170006,CPD-52 6110
13.409755847425334,-55.956711598220004,HD 116402
13.502493018952666,-58.48454333725,HD 117214
13.453388629817333,-59.63730414004,HD 116794
13.322094717282667,-59.47234473185,HD 115600
13.776498651687334,-62.06937632543001,HD 119718
14.582229337148666,-70.50192822265,TYC 9261-1244-1
14.682229919491332,-70.77054055962999,TYC 9261-1334-1
13.109954505555555,-46.03389383333333,HD 113766
13.34767086285,-48.72214471222,HD 115875
13.083179157274,-47.39681636537,HD 113524
13.104640031499999,-48.46329055472223,* f Cen
13.340781157988001,-49.22366865845,HD 115820
13.254630101260666,-50.968710544480004,HD 115029
13.365869321181332,-51.28225419473,HD 116038
13.410027148897333,-51.5044568644,HD 116434
13.239954928059333,-50.90054033623,CD-50 7600
13.239954928059333,-50.90054033623,CD-50 7600
13.223153575,-50.699826305555554,HD 114772
13.343840375484668,-52.74782482484,V* V964 Cen
13.402398046017334,-53.79309830749,HD 116356
